"variable","DHH","DHScore","DHD","Treatment","DHH8.29","DHScore8.29","DHH9.3","DHScore9.3","DHH9.4","DHScore9.4","DHH9.5","DHScore9.5","DHH9.6","DHScore9.6","DHH9.7","DHScore9.7"
"MH1",161,116.4,6.708,"Guano",0,0,87,87.91,110,107.5,120,111,130,112.7,141,113.8
"MH2",179,102.6,7.458,"Guano",0,0,87,68.27,108,85.59,116,87.39,126,89.53,143,94.14
"MH3",150,96.56,6.25,"Guano",0,0,87,72.1,108,89.46,114,91.39,124,93.08,135,94.31
"MH4",120,115.1,5,"Control",0,0,87,93.45,109,112.6,114,114.5,116,114.8,117,114.9
"MH5",204,167.8,8.5,"Control",0,0,87,115.3,111,141,123,145.6,139,149.3,156,154.5
"MH6",124,93.32,5.167,"Control",0,0,90,77.47,108,90.8,114,92.16,115,92.47,116,92.66
"MH7",169,134.3,7.042,"Inorganic",0,0,87,101.4,111,122.5,123,125.2,134,128.1,149,131.4
"MH8",119,94.63,4.958,"Inorganic",0,0,87,80.08,108,92.8,112,94.06,114,94.31,116,94.37
"MH9",158,78.23,6.583,"Inorganic",0,0,82,53.27,101,68.15,107,69.28,120,72.22,135,75.04
"MH10",94,51.86,3.917,"Effluent",0,0,76,41.46,92,51.57,93,51.71,94,51.86,94,51.86
"MH11",127,82.14,5.292,"Effluent",0,0,86,64.79,107,80.12,112,81.35,117,81.76,122,82.04
"MH12",167,114.2,6.958,"Effluent",0,0,87,80.95,108,101.4,116,103.6,126,105.8,140,108.1
