"variable","Treatment","DHScore","Cumulative_DHH","start_date","end_date"
"PH1","HEAT-Guano",1.9,92,2023-07-24,2023-09-05
"PH10","HEAT-Effluent",4.4,119,2023-07-24,2023-09-05
"PH11","HEAT-Effluent",4,118,2023-07-24,2023-09-05
"PH12","HEAT-Effluent",3.6,117,2023-07-24,2023-09-05
"PH2","HEAT-Guano",5.1,125,2023-07-24,2023-09-05
"PH3","HEAT-Guano",5.1,124,2023-07-24,2023-09-05
"PH4","HEAT-Control",3.7,113,2023-07-24,2023-09-05
"PH5","HEAT-Control",5.8,124,2023-07-24,2023-09-05
"PH6","HEAT-Control",2.7,111,2023-07-24,2023-09-05
"PH7","HEAT-Inorganic",4.2,117,2023-07-24,2023-09-05
"PH8","HEAT-Inorganic",3.1,115,2023-07-24,2023-09-05
"PH9","HEAT-Inorganic",4.8,123,2023-07-24,2023-09-05
"PH1","HEAT-Guano",3.1,133,2023-07-24,2023-09-07
"PH10","HEAT-Effluent",6.4,163,2023-07-24,2023-09-07
"PH11","HEAT-Effluent",5.4,158,2023-07-24,2023-09-07
"PH12","HEAT-Effluent",4.4,153,2023-07-24,2023-09-07
"PH2","HEAT-Guano",7,169,2023-07-24,2023-09-07
"PH3","HEAT-Guano",6.8,168,2023-07-24,2023-09-07
"PH4","HEAT-Control",5.1,153,2023-07-24,2023-09-07
"PH5","HEAT-Control",7.3,165,2023-07-24,2023-09-07
"PH6","HEAT-Control",3.8,150,2023-07-24,2023-09-07
"PH7","HEAT-Inorganic",6.2,163,2023-07-24,2023-09-07
"PH8","HEAT-Inorganic",4.3,154,2023-07-24,2023-09-07
"PH9","HEAT-Inorganic",6.2,163,2023-07-24,2023-09-07
"PH1","HEAT-Guano",3.1,139,2023-07-24,2023-09-08
"PH10","HEAT-Effluent",6.7,179,2023-07-24,2023-09-08
"PH11","HEAT-Effluent",5.55,168,2023-07-24,2023-09-08
"PH12","HEAT-Effluent",4.4,157,2023-07-24,2023-09-08
"PH2","HEAT-Guano",7.2,188,2023-07-24,2023-09-08
"PH3","HEAT-Guano",7,187,2023-07-24,2023-09-08
"PH4","HEAT-Control",5.1,162,2023-07-24,2023-09-08
"PH5","HEAT-Control",7.4,178,2023-07-24,2023-09-08
"PH6","HEAT-Control",3.8,155,2023-07-24,2023-09-08
"PH7","HEAT-Inorganic",6.4,181,2023-07-24,2023-09-08
"PH8","HEAT-Inorganic",4.3,164,2023-07-24,2023-09-08
"PH9","HEAT-Inorganic",6.2,175,2023-07-24,2023-09-08
"PH1","HEAT-Guano",3.1,145,2023-07-24,2023-09-09
"PH10","HEAT-Effluent",6.8,194,2023-07-24,2023-09-09
"PH11","HEAT-Effluent",5.6,176.5,2023-07-24,2023-09-09
"PH12","HEAT-Effluent",4.4,159,2023-07-24,2023-09-09
"PH2","HEAT-Guano",7.3,204,2023-07-24,2023-09-09
"PH3","HEAT-Guano",7.2,206,2023-07-24,2023-09-09
"PH4","HEAT-Control",5.1,172,2023-07-24,2023-09-09
"PH5","HEAT-Control",7.4,186,2023-07-24,2023-09-09
"PH6","HEAT-Control",3.8,160,2023-07-24,2023-09-09
"PH7","HEAT-Inorganic",6.5,196,2023-07-24,2023-09-09
"PH8","HEAT-Inorganic",4.3,173,2023-07-24,2023-09-09
"PH9","HEAT-Inorganic",6.2,184,2023-07-24,2023-09-09
"PH1","HEAT-Guano",3.1,152,2023-07-24,2023-09-10
"PH10","HEAT-Effluent",7,209,2023-07-24,2023-09-10
"PH11","HEAT-Effluent",5.7,185,2023-07-24,2023-09-10
"PH12","HEAT-Effluent",4.4,161,2023-07-24,2023-09-10
"PH2","HEAT-Guano",7.4,218,2023-07-24,2023-09-10
"PH3","HEAT-Guano",7.4,227,2023-07-24,2023-09-10
"PH4","HEAT-Control",5.2,186,2023-07-24,2023-09-10
"PH5","HEAT-Control",7.4,196,2023-07-24,2023-09-10
"PH6","HEAT-Control",3.8,164,2023-07-24,2023-09-10
"PH7","HEAT-Inorganic",6.6,212,2023-07-24,2023-09-10
"PH8","HEAT-Inorganic",4.3,180,2023-07-24,2023-09-10
"PH9","HEAT-Inorganic",6.2,194,2023-07-24,2023-09-10
"PH1","HEAT-Guano",3.1,155,2023-07-24,2023-09-11
"PH10","HEAT-Effluent",7,217,2023-07-24,2023-09-11
"PH11","HEAT-Effluent",5.7,189.5,2023-07-24,2023-09-11
"PH12","HEAT-Effluent",4.4,162,2023-07-24,2023-09-11
"PH2","HEAT-Guano",7.4,226,2023-07-24,2023-09-11
"PH3","HEAT-Guano",7.5,239,2023-07-24,2023-09-11
"PH4","HEAT-Control",5.2,194,2023-07-24,2023-09-11
"PH5","HEAT-Control",7.4,200,2023-07-24,2023-09-11
"PH6","HEAT-Control",3.8,167,2023-07-24,2023-09-11
"PH7","HEAT-Inorganic",6.6,219,2023-07-24,2023-09-11
"PH8","HEAT-Inorganic",4.3,186,2023-07-24,2023-09-11
"PH9","HEAT-Inorganic",6.2,201,2023-07-24,2023-09-11
